"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"M4,M1,M2,M3,M5,M6,M7,M8";"50_pin_10in_BW";8;"CONN_02X25";;;
2;"RP7,RP6,RP1,RP2,RP3,RP4,RP5,RP8,RP9,RP10,RP11,RP12,RP13,RP14,RP15,RP16";"10_pin_10in_BW";16;"9_R_01X10";;;
3;"J7";"609-1064-ND";1;"RJ14";;;
4;"J6,J3";"USB-A";2;"USB_A";;;
5;"M9";"RS485";1;"CONN_02X09";;;
6;"J4";"2x3_pin_10in";1;"CONN_02X03";;;
7;"P31";"2_pin_10in";1;"CONN_01X02";;;
8;"C15,C16,C17,C18";"FK18X5R0J105K";4;"10 uF";;;
9;"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C19,C20";"FK18X5R0J105K";16;"1uF";;;
10;"R4,R2,R3,R5";"R_200mil";4;"10k";;;
11;"R1";"R_200mil";1;"20k";;;
12;"P16,P15,P13,P12,P11,P9,P8,P7,P4,P3,P2,P1,P14,P10,P6,P5";"2x8_pin_10in";16;"CONN_02X08";;;
13;"MH1,MH2,MH3,MH5,MH6,MH7,MH8,MH9,MH10,MH11,MH12,MH13,MH14,MH15,MH16,MH4";"mh_632";16;"MountingHole";;;
14;"J1";"OSTYK51104030";1;"SCREW_TERM";;;
15;"JP8,JP7,JP6,JP5,JP4,JP3,JP2,JP1";"Pin_Header_Straight_1x03_Pitch5.08mm";8;"JUMPER3";;;
16;"J2,J5";"USB-A_vert";2;"DNP";;;
17;"TP6,TP8,TP7,TP5,TP4,TP3,TP2,TP1,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24";"stitch_via";24;"via_stitch";;;
18;"U2,U4,U3,U1";"24_pin_10in";4;"CONN_02X12";;;
19;"J8";"609-5080-ND";1;"RJ14";;;
20;"GND_M1,GND_M2,GND_M3,GND_M4,GND_M5,GND_M6,GND_M7,GND_M8,PWR_M1,PWR_M2,PWR_M3,PWR_M4,PWR_M5,PWR_M6,PWR_M7,PWR_M8";"10_pin_10in_BW";16;"CONN_01X10";;;
